,feature,H
0,P0,0.07927289137494016
1,P1,0.09379594167937644
2,P2,0.13491235163693682
3,P3,0.14143036123230246
4,P4,0.1439910321120816
0,P5,0.18149916334489688
1,P6,0.1623810479744692
2,P7,0.15519097802742718
3,P8,0.09998812727062832
4,P9,0.15756868430057913
0,P10,0.1536422074817398
1,P11,0.16945129917169954
2,P12,0.1745798500759929
3,P13,0.1732699255701923
4,P14,0.17023951718802288
0,P15,0.1477589997924266
1,P16,0.2125988974211001
2,P17,0.1622630766311327
3,P18,0.20771126904973247
4,P19,0.19558363585895533
0,P20,0.17958130970579805
1,P21,0.2440357835468979
2,P22,0.1996436588394235
3,P23,0.1889342400215236
4,P24,0.1057997696428507
0,P25,0.1299570007298975
1,P26,0.143811563242409
2,P27,0.1442241990442455
3,P28,0.14020236661606444
4,P29,0.18177347899551874
