index,label,cluster
3533904,AMAZON,3
365549,AMAZON,4
2923202,AMAZON,4
2956577,AMAZON,6
2431621,AMAZON,1
3240695,AMAZON,4
2920983,AMAZON,5
2587699,AMAZON,1
3013430,AMAZON,2
1406890,AMAZON,1
2693643,AMAZON,3
2904812,AMAZON,4
2573941,AMAZON,1
176382,AMAZON,4
3040082,AMAZON,7
2550120,AMAZON,1
119246,AMAZON,3
2075541,AMAZON,4
2309657,AMAZON,7
2061497,AMAZON,1
1772111,AMAZON,4
1440478,AMAZON,4
2195113,AMAZON,6
2066554,AMAZON,1
1869697,AMAZON,8
2205033,AMAZON,6
9436,AMAZON,4
623572,AMAZON,2
2432008,AMAZON,1
2070650,AMAZON,4
624119,AMAZON,10
2065908,AMAZON,1
1773022,AMAZON,2
2437202,AMAZON,1
1005576,AMAZON,7
2430277,AMAZON,1
2428270,AMAZON,1
589083,AMAZON,1
2549822,AMAZON,1
320570,AMAZON,5
2168755,AMAZON,2
1740953,AMAZON,2
67369,AMAZON,1
2425171,AMAZON,2
1936233,AMAZON,1
1780030,AMAZON,1
2160222,AMAZON,1
2060137,AMAZON,4
1920621,AMAZON,7
2434088,AMAZON,1
363898,AMAZON,1
3479916,AMAZON,6
2430070,AMAZON,2
2983867,AMAZON,4
2697656,AMAZON,1
1718217,AMAZON,7
3289383,AMAZON,7
2073208,AMAZON,1
484649,AMAZON,6
315417,AMAZON,7
2160224,AMAZON,1
2318350,AMAZON,7
2059681,AMAZON,4
2205695,AMAZON,4
2574573,AMAZON,1
2714644,AMAZON,6
2587637,AMAZON,1
2067191,AMAZON,1
2063631,AMAZON,4
2074148,AMAZON,1
3480013,AMAZON,9
3499561,AMAZON,7
1974791,AMAZON,8
2403370,AMAZON,1
1781966,AMAZON,2
2318044,AMAZON,1
2574531,AMAZON,1
2735355,AMAZON,8
2428802,AMAZON,1
3064610,AMAZON,2
2583605,AMAZON,1
2183614,AMAZON,7
172834,AMAZON,4
867265,AMAZON,3
2023930,AMAZON,4
312328,AMAZON,2
1763090,AMAZON,2
1561023,AMAZON,7
1399020,AMAZON,4
2159896,AMAZON,1
170171,AMAZON,2
2443930,AMAZON,5
2069605,AMAZON,1
1130642,AMAZON,2
3230612,AMAZON,4
1274068,AMAZON,6
2550620,AMAZON,1
1032755,AMAZON,2
2074561,AMAZON,1
2170889,AMAZON,3
2916180,APPLE,2
139053,APPLE,2
2657293,APPLE,4
2398240,APPLE,9
2915911,APPLE,2
363259,APPLE,2
2175213,APPLE,2
444714,APPLE,1
155890,APPLE,1
497545,APPLE,11
362795,APPLE,1
242466,APPLE,1
2962893,APPLE,7
2929951,APPLE,1
2372244,APPLE,4
2921823,APPLE,2
2914339,APPLE,2
3368770,APPLE,3
2920079,APPLE,3
360434,APPLE,7
835404,APPLE,8
2925462,APPLE,2
485621,APPLE,2
2600363,APPLE,2
2608415,APPLE,4
2886908,APPLE,2
3422698,APPLE,7
3491867,APPLE,2
3003001,APPLE,10
1279018,APPLE,1
2917172,APPLE,1
2158419,APPLE,3
2903937,APPLE,3
3001520,APPLE,1
439206,APPLE,7
2600443,APPLE,2
2904539,APPLE,2
149388,APPLE,7
1826775,APPLE,2
2998854,APPLE,7
2913557,APPLE,2
444107,APPLE,10
2998390,APPLE,7
2584402,APPLE,6
2175661,APPLE,2
570575,APPLE,7
3218389,APPLE,4
583307,APPLE,10
3139854,APPLE,10
2118441,APPLE,6
3000484,APPLE,5
809667,APPLE,10
149488,APPLE,7
2962800,APPLE,4
3546663,APPLE,3
2917840,APPLE,1
2461870,APPLE,1
242477,APPLE,7
2874114,APPLE,2
3000830,APPLE,10
3003138,APPLE,10
2907811,APPLE,1
368824,APPLE,1
2995916,APPLE,1
2175220,APPLE,2
2997866,APPLE,7
293900,APPLE,3
258021,APPLE,3
2994837,APPLE,7
2917923,APPLE,4
2891957,APPLE,2
440402,APPLE,10
143179,APPLE,1
439215,APPLE,5
169358,APPLE,2
878600,APPLE,7
2901664,APPLE,2
2922801,APPLE,2
3369954,APPLE,2
