,Cluster,App,H
0,1,DROPBOX,0.1540983606557377
1,2,HTTP_CONNECT,0.06735751295336788
2,3,APPLE,0.0790273556231003
3,4,CONTENT_FLASH,0.23492063492063492
4,5,APPLE_ICLOUD,0.09570957095709572
5,6,MS_ONE_DRIVE,0.11538461538461539
6,7,WHATSAPP,0.10738255033557047
7,8,SPOTIFY,0.08653846153846154
8,9,APPLE,0.10822510822510822
9,10,WINDOWS_UPDATE,0.1048951048951049
10,11,GOOGLE,0.088
11,12,IP_ICMP,1.0
12,13,CLOUDFLARE,0.11764705882352941
13,14,HTTP,0.13043478260869565
14,15,OFFICE_365,0.375
15,16,DNS,0.23529411764705882
16,17,WHATSAPP,0.1016949152542373
17,18,DNS,0.9782608695652174
18,19,DROPBOX,0.23529411764705882
19,20,REST_APP,0.14285714285714285
