,Cluster,App,H
0,1,CLOUDFLARE,0.044101433296582136
1,2,NTP,0.1411192214111922
2,3,TEAMVIEWER,0.15151515151515152
3,4,FACEBOOK,0.0801781737193764
4,5,NTP,0.1392857142857143
5,6,CONTENT_FLASH,0.09004739336492891
6,7,OFFICE_365,0.08994708994708994
7,8,CONTENT_FLASH,0.15428571428571428
8,9,CITRIX_ONLINE,0.14383561643835616
9,11,MQTT,0.10160427807486631
10,12,CITRIX_ONLINE,0.11811023622047244
11,13,WHATSAPP,0.07142857142857142
12,14,MICROSOFT,0.06557377049180328
13,15,SPOTIFY,0.04918032786885246
14,16,DNS,0.48148148148148145
15,17,APPLE_ICLOUD,0.09734513274336283
16,18,TEAMVIEWER,0.12037037037037036
17,19,EDONKEY,0.14130434782608695
18,20,WAZE,0.21649484536082475
19,21,SSL_NO_CERT,0.13953488372093023
20,22,EDONKEY,0.41379310344827586
21,23,SSL_NO_CERT,0.13580246913580246
22,24,GOOGLE_MAPS,0.08823529411764706
23,25,SSH,0.14285714285714285
24,26,SSH,0.12
25,28,SSL_NO_CERT,0.10344827586206896
26,30,SSH,0.3611111111111111
27,31,YAHOO,0.1
28,32,MQTT,0.4375
29,33,DNS,0.42105263157894735
